street_marker,vioTime,depTime,lat,lon,area
5144E,704,745,-37.80292804,144.9570385,Courtney
C1274,704,882,-37.81160479,144.9591486,Titles
13681W,704,773,-37.82086053,144.9461877,Docklands
8883W,704,715,-37.82498281,144.9610748,Southbank
9232N,704,711,-37.83130988,144.9662316,Southbank
13336E,705,714,-37.81662593,144.9457691,Docklands
13316E,705,807,-37.81962893,144.9470546,Docklands
6037S,705,925,-37.81058146,144.9564929,Mint
1847S,706,820,-37.81881749,144.9592802,Rialto
C1122,706,717,-37.81457007,144.9605018,Hardware
18E,706,756,-37.81452914,144.9746296,Twin Towers
C9166,706,717,-37.79844868,144.9651765,University
11891W,706,743,-37.81044994,144.9780989,Jolimont
79W,706,725,-37.80986177,144.9722262,Princes Theatre
C830,707,716,-37.81116389,144.967347,Library
10181W,708,717,-37.80404052,144.9493538,Queensberry
2338N,708,733,-37.81174905,144.9714237,Windsor
C522,708,725,-37.81043196,144.9698119,Princes Theatre
9417S,709,724,-37.83008922,144.9665042,Southbank
816E,709,761,-37.81124641,144.9675098,Library
1299W,709,797,-37.81834299,144.9593058,Tavistock
13416E,709,714,-37.81973947,144.9479154,Docklands
13701W,709,731,-37.81975104,144.9458956,Docklands
9537S,709,818,-37.82821654,144.9651477,Southbank
2793S,710,721,-37.81046795,144.9687919,Princes Theatre
3435S,710,720,-37.81080727,144.9635679,Library
2350N,710,836,-37.81190347,144.9708985,Windsor
2513S,710,720,-37.81096637,144.9706443,Princes Theatre
C340,711,749,-37.81439207,144.9716304,Hyatt
12441S,711,735,-37.81194402,144.975685,Jolimont
1437W,711,735,-37.81767522,144.9561932,Family
12443S,711,721,-37.81196723,144.9759003,Jolimont
3959S,711,728,-37.81274498,144.9531746,Magistrates
13040N,712,823,-37.8211263,144.9437236,Docklands
8810E,712,750,-37.8228259,144.96672,Southbank
13649W,713,839,-37.8204307,144.9454222,Docklands
12457S,713,804,-37.81202094,144.9763878,Jolimont
10191W,713,738,-37.80377543,144.9494006,Queensberry
12042E,713,727,-37.81254119,144.9833059,East Melbourne
C7136,713,718,-37.80843101,144.9527013,Queensberry
6171W,713,721,-37.80426415,144.9431407,Queensberry
1723S,713,750,-37.81438925,144.9741645,Twin Towers
7035S,714,885,-37.80758626,144.9584605,Victoria Market
812E,714,744,-37.81129717,144.9675333,Library
13632E,714,726,-37.81903333,144.9443151,Docklands
12400N,715,739,-37.81073976,144.9765223,Jolimont
12069W,715,782,-37.81183781,144.9831888,East Melbourne
13225S,715,759,-37.81939766,144.9456302,Docklands
7644N,715,725,-37.80494833,144.9484029,Queensberry
9310N,715,765,-37.82918037,144.9692042,Southbank
13426E,715,726,-37.81995604,144.9481458,Docklands
C13720,716,782,-37.82006342,144.9430106,Docklands
2698N,716,742,-37.80979545,144.9704132,Princes Theatre
8674E,716,724,-37.82530117,144.9629918,Southbank
12307S,717,733,-37.8098461,144.9777418,Jolimont
2555S,717,814,-37.81387885,144.960674,Hardware
1738N,718,725,-37.81467179,144.9729975,Twin Towers
13247S,718,723,-37.82007901,144.9432763,Docklands
C2774,718,751,-37.81026058,144.9691509,Princes Theatre
7331W,719,727,-37.80552845,144.9492246,West Melbourne
C2668,720,739,-37.80967589,144.9711599,Princes Theatre
C2858,720,734,-37.81063979,144.9678583,Princes Theatre
6531S,720,748,-37.80786127,144.9618158,The Mac
13641W,720,742,-37.81996243,144.944289,Docklands
795W,721,748,-37.81138739,144.9673245,Library
13215S,721,773,-37.81881017,144.9476873,Docklands
C2998,722,815,-37.81314433,144.9593067,Supreme
6024N,722,894,-37.8103867,144.9566918,Mint
7336E,722,969,-37.80537811,144.9493312,West Melbourne
1581S,722,734,-37.81865397,144.9636784,Banks
13912E,723,731,-37.81390575,144.9412726,Docklands
13628E,723,753,-37.81942582,144.9444923,Docklands
C256,723,793,-37.81533488,144.9720688,Hyatt
C2724,724,798,-37.80990274,144.970385,Princes Theatre
13354E,724,803,-37.81550859,144.9452765,Docklands
787W,724,736,-37.81160148,144.9674232,Library
11768E,724,909,-37.80989306,144.975726,Jolimont
C6380,725,873,-37.80400887,144.9509595,Queensberry
910E,725,744,-37.8168627,144.9644608,Degraves
12269S,725,809,-37.80970231,144.9764181,Jolimont
12360N,727,745,-37.81023444,144.982598,East Melbourne
C308,727,747,-37.81471636,144.9717806,Hyatt
C13576,727,765,-37.81948453,144.9450145,Docklands
11766E,727,770,-37.80992531,144.9757209,Jolimont
10013S,727,754,-37.82370425,144.9690935,Southbank
10036N,727,750,-37.82321938,144.9666358,Southbank
1908N,728,750,-37.81444536,144.9698433,Hyatt
2551S,728,735,-37.81382557,144.9608584,Hardware
13868N,729,750,-37.81402454,144.9416295,Docklands
10166E,729,838,-37.80447057,144.9494688,Queensberry
916E,729,762,-37.81669896,144.9643856,Degraves
6033S,729,809,-37.8105146,144.9567188,Mint
C666,730,832,-37.81445233,144.9688543,City Square
13347W,730,743,-37.81942624,144.9484213,Docklands
12387S,730,768,-37.81093349,144.9765959,Jolimont
951W,730,765,-37.81305338,144.9625077,Chinatown
C5860,730,841,-37.80528571,144.953751,Queensberry
1583S,730,749,-37.81867252,144.9636144,Banks
1228E,730,744,-37.8122279,144.9595585,Titles
13866N,731,752,-37.81405078,144.9415608,Docklands
13042N,731,1110,-37.82111067,144.9436584,Docklands
5353W,731,745,-37.81013938,144.9555465,Mint
12477S,731,736,-37.81211825,144.9772799,Jolimont
7670N,732,813,-37.80379542,144.9571126,Courtney
1157W,732,782,-37.8137775,144.9600102,Hardware
12471S,732,740,-37.81209586,144.9770746,Jolimont
4825W,733,753,-37.81079501,144.9586589,Titles
13301W,734,939,-37.82074851,144.947264,Docklands
2553S,734,743,-37.8138616,144.9607337,Hardware
13675W,734,816,-37.82102321,144.9462295,Docklands
9449S,734,741,-37.83025691,144.9659247,Southbank
C818,734,746,-37.81130687,144.9674122,Library
C13624,735,744,-37.8196649,144.9443883,Docklands
9325S,735,756,-37.82950699,144.9685146,Southbank
13221S,736,749,-37.81891316,144.9473267,Docklands
C9122,736,750,-37.79840476,144.9647733,University
11876E,736,745,-37.81069143,144.9782983,Jolimont
9439S,737,824,-37.83020454,144.9661057,Southbank
6177W,737,859,-37.80411157,144.9431675,Queensberry
12358N,737,764,-37.81022689,144.9825305,East Melbourne
C684,737,743,-37.8142635,144.9687694,City Square
12268N,738,765,-37.80962845,144.9770852,Jolimont
9958N,739,745,-37.82594443,144.9673019,Southbank
5138E,739,990,-37.80299677,144.9570704,Courtney
1175W,739,836,-37.81356745,144.9599138,Hardware
10189W,739,745,-37.80382682,144.9493915,Queensberry
13034N,740,751,-37.82117319,144.9439193,Docklands
12393S,740,748,-37.81095738,144.9768136,Jolimont
8651W,740,749,-37.82556052,144.9624892,Southbank
961W,740,766,-37.81196496,144.9620054,Library
1315W,740,1110,-37.81707601,144.9587304,RACV
C9198,741,796,-37.79848168,144.9654877,University
11883W,741,752,-37.81075572,144.9780482,Jolimont
12469S,741,753,-37.81207935,144.9769197,Jolimont
3761S,741,747,-37.81006045,144.9624784,The Mac
48E,741,748,-37.81260835,144.9737395,Twin Towers
C7178,741,915,-37.80743963,144.9531662,Queensberry
C2636,742,895,-37.80953618,144.9716371,Princes Theatre
13301S,742,817,-37.82234164,144.9468699,Docklands
13307W,743,757,-37.8205206,144.9472059,Docklands
12461S,743,749,-37.81203633,144.9765303,Jolimont
8352E,743,750,-37.82413045,144.9685709,Southbank
C7196,743,779,-37.80756806,144.952902,Queensberry
5592E,744,752,-37.80593719,144.9538766,Queensberry
673W,744,754,-37.81441285,144.9687144,City Square
2884N,745,764,-37.81086766,144.9667622,Library
694E,746,776,-37.81404742,144.9687951,City Square
12338N,746,757,-37.80988361,144.9794282,East Melbourne
C5864,746,1110,-37.80523878,144.9537594,Queensberry
12093W,747,923,-37.81083727,144.9833555,East Melbourne
2563S,747,852,-37.81412239,144.9598662,Supreme
11707W,747,779,-37.81004472,144.9727275,Jolimont
5130E,747,868,-37.80314504,144.9571394,Courtney
C7740,747,754,-37.80313959,144.9504104,Queensberry
12285S,747,766,-37.8097585,144.9769364,Jolimont
9531S,748,753,-37.82825576,144.9653576,Southbank
2E,748,754,-37.81494561,144.9748225,Twin Towers
9970N,748,982,-37.8259887,144.9671493,Southbank
C13572,748,769,-37.81947539,144.9450461,Docklands
45W,749,781,-37.81273972,144.9735492,Twin Towers
2557S,749,794,-37.81389609,144.9606142,Hardware
8713W,749,763,-37.82476699,144.9633924,Southbank
9292N,749,960,-37.82907503,144.9695678,Southbank
12288N,749,758,-37.80970041,144.9777548,Jolimont
C204,749,798,-37.81577294,144.9722709,Hyatt
C224,749,776,-37.81559854,144.9721908,Hyatt
C7738,749,857,-37.80314276,144.9504386,Queensberry
C6392,750,885,-37.80379679,144.9509969,Queensberry
13373W,750,960,-37.81975611,144.9498403,Docklands
2849S,750,785,-37.81069422,144.9680227,Princes Theatre
5804E,750,793,-37.80708341,144.9534651,Queensberry
8318E,750,826,-37.82508581,144.9682849,Southbank
13367W,750,960,-37.81956935,144.949693,Docklands
C344,750,847,-37.81436682,144.9716188,Hyatt
8649W,750,769,-37.82558052,144.9624657,Southbank
4572E,750,767,-37.80815455,144.9660946,The Mac
7582N,750,759,-37.80559939,144.9542931,Queensberry
C13676,751,805,-37.81995237,144.9433924,Docklands
12442N,751,784,-37.81184753,144.9758456,Jolimont
8279W,751,788,-37.82701902,144.9675774,Southbank
13911W,751,762,-37.81360587,144.9418344,Docklands
7680N,751,758,-37.80375078,144.9567101,Courtney
1695S,751,769,-37.820605,144.9570746,Markilles
C252,752,767,-37.8154107,144.9721042,Hyatt
1425W,752,770,-37.81815917,144.9564156,Family
9453S,752,768,-37.83027812,144.9658514,Southbank
797W,752,783,-37.81133408,144.9672999,Library
12279S,752,801,-37.80973763,144.976744,Jolimont
13029S,753,806,-37.82053721,144.9493859,Docklands
13870N,753,781,-37.81399876,144.9416974,Docklands
C692,753,774,-37.81421597,144.968748,City Square
C6340,753,993,-37.80431152,144.9509058,Queensberry
13634E,753,769,-37.81898174,144.9442912,Docklands
C412,753,990,-37.81291066,144.9709504,Windsor
C1212,754,764,-37.81248517,144.9595485,Titles
13369W,755,960,-37.81961403,144.9497282,Docklands
C696,756,767,-37.81419222,144.9687374,City Square
2337S,756,765,-37.81188777,144.9715038,Windsor
50E,756,816,-37.81255423,144.9737144,Twin Towers
C1115,756,772,-37.81550243,144.9609294,McKillop
13699W,757,769,-37.81980504,144.9459096,Docklands
12044E,758,780,-37.81240392,144.9833322,East Melbourne
13629W,758,764,-37.82039383,144.9444854,Docklands
1849S,758,1013,-37.81883676,144.9592141,Rialto
13015S,759,807,-37.8199656,144.9513618,Docklands
7592N,759,1110,-37.80523525,144.9510389,Queensberry
C7028,759,1001,-37.80742553,144.9586895,Victoria Market
C5966,759,791,-37.80377804,144.9540202,Queensberry
5150E,759,819,-37.80279276,144.9569757,Courtney
1205W,759,789,-37.81263517,144.9594919,Titles
10034N,760,772,-37.82323016,144.9667054,Southbank
7588N,760,781,-37.80557196,144.9540494,Queensberry
C6400,760,829,-37.80375005,144.9510053,Queensberry
7784N,760,817,-37.80243112,144.9448248,Queensberry
12459S,760,777,-37.81202872,144.9764601,Jolimont
5829W,761,768,-37.80665496,144.9534054,Queensberry
775W,761,800,-37.81221754,144.9677054,Chinatown
12287S,761,778,-37.80976917,144.9770357,Jolimont
11888E,762,772,-37.81038123,144.9783506,Jolimont
13853S,762,771,-37.81411372,144.9415683,Docklands
1662N,762,785,-37.81857743,144.9632572,Banks
C6428,763,867,-37.80347327,144.9510547,Queensberry
C2944,763,816,-37.81265946,144.9610092,Hardware
334E,763,812,-37.81438812,144.9717558,Hyatt
1297W,763,843,-37.81840452,144.9593341,Tavistock
65W,763,801,-37.81024925,144.9724068,Princes Theatre
13214N,764,803,-37.81869043,144.9474187,Docklands
C1166,765,780,-37.81363641,144.9600742,Hardware
13381W,765,786,-37.82039784,144.9503461,Docklands
5188E,765,1202,-37.81105803,144.9574427,Hyatt
12264N,765,770,-37.80954973,144.9763512,Jolimont
10007S,765,858,-37.82364856,144.969288,Southbank
6231W,765,777,-37.80598364,144.9508381,Queensberry
12377S,766,775,-37.81016618,144.9806603,East Melbourne
C548,766,774,-37.80957988,144.9694221,Regency
C232,766,816,-37.81555296,144.9721694,Hyatt
C4828,767,823,-37.81061158,144.9586981,Titles
13758E,767,785,-37.81230145,144.936251,Docklands
977W,768,1052,-37.81860766,144.9622303,Banks
5154E,768,866,-37.80274804,144.9569549,Courtney
12487S,768,948,-37.81215577,144.9776229,Jolimont
C6352,768,888,-37.80421782,144.9509224,Queensberry
13760E,768,795,-37.812263,144.9362268,Docklands
13327W,769,777,-37.81974853,144.9469088,Docklands
13350E,770,790,-37.81573303,144.9453756,Docklands
9943S,770,834,-37.82602525,144.9673739,Southbank
C264,771,804,-37.81528916,144.9720478,Hyatt
12322N,771,798,-37.80980447,144.9786929,East Melbourne
2508N,771,787,-37.81086532,144.9708109,Princes Theatre
5180E,771,814,-37.8111945,144.9575054,Mint
C6404,771,867,-37.80370336,144.9510137,Queensberry
37W,772,791,-37.81392533,144.9741295,Twin Towers
4574E,773,787,-37.80809601,144.9660678,The Mac
C680,773,787,-37.81428853,144.9687806,City Square
1203W,774,781,-37.81268611,144.9595147,Titles
1518E,774,906,-37.81946331,144.9544653,Markilles
C1150,774,851,-37.81384622,144.9601694,Hardware
13221S,775,782,-37.81891316,144.9473267,Docklands
13656E,775,914,-37.81997219,144.9453979,Docklands
1295W,775,789,-37.81845605,144.9593577,Tavistock
13466E,775,782,-37.82016452,144.9486632,Docklands
13352E,775,923,-37.81567639,144.9453506,Docklands
43W,775,823,-37.8127876,144.973571,Twin Towers
13912E,776,782,-37.81390575,144.9412726,Docklands
791W,776,812,-37.81149444,144.9673738,Library
425W,776,782,-37.81279514,144.9707706,Windsor
11810E,777,785,-37.81389014,144.9777615,Jolimont
13039S,777,797,-37.82122207,144.9470182,Docklands
2561S,777,893,-37.81410437,144.959928,Supreme
2341S,778,788,-37.81192268,144.9713844,Windsor
C1122,778,809,-37.81457007,144.9605018,Hardware
10121W,778,786,-37.80320432,144.9479722,Queensberry
C7182,779,798,-37.80746605,144.953112,Queensberry
2845S,779,801,-37.81065641,144.9681509,Princes Theatre
2553S,779,790,-37.8138616,144.9607337,Hardware
787W,779,788,-37.81160148,144.9674232,Library
12025W,781,787,-37.81303296,144.9829894,East Melbourne
5098E,781,1110,-37.80441203,144.9577275,Courtney
2344N,781,852,-37.81182606,144.9711621,Windsor
13486E,782,795,-37.81960519,144.9505258,Docklands
983W,782,814,-37.81845524,144.9621604,Banks
8709W,783,815,-37.82483527,144.9633124,Southbank
12381S,783,798,-37.81090675,144.9763542,Jolimont
C13580,783,905,-37.81949368,144.9449829,Docklands
12273S,783,792,-37.80971647,144.9765488,Jolimont
12453S,784,811,-37.81200577,144.9762477,Jolimont
C1121,784,819,-37.81539157,144.9608786,McKillop
C13656,784,811,-37.81980391,144.9439109,Docklands
994E,784,842,-37.81846335,144.9624156,Banks
C4884,785,795,-37.80832687,144.9578448,Victoria Market
13578E,785,841,-37.82037563,144.9429534,Docklands
9447S,785,804,-37.83024639,144.9659611,Southbank
2851S,785,810,-37.81071345,144.9679578,Princes Theatre
1232E,785,846,-37.81218175,144.9595374,Titles
7597S,786,802,-37.80534515,144.9503474,Queensberry
5807W,786,889,-37.80702713,144.9533404,Queensberry
C1208,786,793,-37.81255668,144.9595811,Titles
C320,786,801,-37.81454334,144.9717005,Hyatt
2348N,786,792,-37.81186443,144.9710311,Windsor
C6402,786,874,-37.8037266,144.9510095,Queensberry
10107W,787,795,-37.80368347,144.9478867,Queensberry
13241S,787,795,-37.82004168,144.9434045,Docklands
9443S,787,816,-37.83022552,144.9660332,Southbank
C146,787,805,-37.8086132,144.9717778,Regency
2892N,787,799,-37.81061209,144.9676316,Princes Theatre
7331W,787,817,-37.80552845,144.9492246,West Melbourne
C1134,788,874,-37.81440089,144.9604241,Hardware
10178E,788,799,-37.80410451,144.9495326,Queensberry
9437S,789,826,-37.83019364,144.9661434,Southbank
13789W,789,807,-37.81312192,144.9406738,Docklands
2513S,789,852,-37.81096637,144.9706443,Princes Theatre
6517S,790,796,-37.80771288,144.9623269,The Mac
13663W,790,833,-37.8212229,144.9453826,Docklands
4005W,790,817,-37.80777201,144.9600844,Victoria Market
C2764,791,863,-37.809999,144.9700562,Princes Theatre
C6414,791,821,-37.80358787,144.9510343,Queensberry
C296,791,799,-37.81478028,144.9718104,Hyatt
9952N,791,815,-37.82592205,144.9673776,Southbank
5140E,791,798,-37.80297373,144.9570597,Courtney
9445S,791,822,-37.830236,144.965997,Southbank
C1224,792,818,-37.81231996,144.9594732,Titles
C328,792,816,-37.81449553,144.9716782,Hyatt
12363S,793,809,-37.81011602,144.9802068,East Melbourne
C2986,793,803,-37.81310164,144.9594536,Supreme
12042E,794,811,-37.81254119,144.9833059,East Melbourne
C9114,794,822,-37.79839825,144.9647112,University
4003W,794,813,-37.80782281,144.9601077,Victoria Market
13866N,794,857,-37.81405078,144.9415608,Docklands
770E,794,826,-37.81246043,144.9680647,Chinatown
13221S,795,800,-37.81891316,144.9473267,Docklands
C2836,795,933,-37.81053175,144.9682256,Princes Theatre
8891W,795,801,-37.82483151,144.9612527,Southbank
13619W,796,803,-37.81958026,144.9435401,Docklands
5292E,796,806,-37.8044346,144.9574613,Courtney
1388E,796,814,-37.81988914,144.9574628,Rialto
12282N,797,807,-37.80967938,144.9775578,Jolimont
12384N,797,888,-37.81068357,144.9760056,Jolimont
C7712,798,837,-37.80359471,144.9544798,Queensberry
779W,798,807,-37.81216666,144.9676823,Chinatown
9533S,798,804,-37.82822897,144.9652072,Southbank
12291S,798,813,-37.80978494,144.9771796,Jolimont
12293S,798,832,-37.8097925,144.9772481,Jolimont
5094E,799,809,-37.80445522,144.9577469,Courtney
13911W,799,855,-37.81360587,144.9418344,Docklands
12360N,799,819,-37.81023444,144.982598,East Melbourne
13796E,799,809,-37.81233213,144.9386874,Docklands
1236E,800,842,-37.81213407,144.9595156,Titles
11961W,800,840,-37.81478828,144.9826885,East Melbourne
1979S,800,819,-37.8166486,144.962849,Banks
13262N,800,862,-37.81994956,144.9430957,Docklands
13269S,800,812,-37.8195909,144.9491714,Docklands
11748E,801,975,-37.81021797,144.9756725,Jolimont
8649W,801,875,-37.82558052,144.9624657,Southbank
13418E,801,816,-37.81978279,144.9479615,Docklands
13033S,801,810,-37.82057355,144.9492606,Docklands
13687W,802,826,-37.82038974,144.9460625,Docklands
C1214,802,810,-37.81246144,144.9595377,Titles
9515S,802,807,-37.82844186,144.9663141,Southbank
C6408,802,879,-37.80365718,144.9510219,Queensberry
C5952,804,817,-37.80395155,144.9539892,Queensberry
2822N,805,837,-37.81039698,144.9683633,Princes Theatre
13876N,805,815,-37.81392423,144.9418947,Docklands
12003W,805,860,-37.81360135,144.9828915,East Melbourne
C332,805,815,-37.81447147,144.9716671,Hyatt
13041S,806,824,-37.82124275,144.9469466,Docklands
C1162,806,823,-37.81368347,144.9600955,Hardware
10189W,806,924,-37.80382682,144.9493915,Queensberry
C782,806,815,-37.81164582,144.9675669,Library
909W,807,818,-37.81691519,144.9642796,Banks
1550E,808,823,-37.81239674,144.951205,West Melbourne
1736N,808,816,-37.81465306,144.9730614,Twin Towers
12436N,810,967,-37.81182447,144.9756335,Jolimont
6542N,810,824,-37.80783816,144.9612067,The Mac
9230N,810,818,-37.83129989,144.9662657,Southbank
2853S,811,851,-37.81073269,144.9678928,Princes Theatre
1908N,811,820,-37.81444536,144.9698433,Hyatt
13693W,811,818,-37.82020558,144.9460144,Docklands
13205S,811,839,-37.81869951,144.9480692,Docklands
1982N,812,869,-37.8166151,144.9623981,Banks
C268,812,847,-37.8152664,144.9720373,Hyatt
11931W,812,873,-37.81556242,144.9825568,East Melbourne
8713W,812,871,-37.82476699,144.9633924,Southbank
C1142,813,835,-37.81428287,144.9603696,Hardware
7660N,813,818,-37.80495487,144.9567006,Courtney
11979W,813,944,-37.8143226,144.982768,East Melbourne
13586E,814,875,-37.81967338,144.942657,Docklands
12029W,814,838,-37.81292959,144.9830068,East Melbourne
3435S,814,820,-37.81080727,144.9635679,Library
C5888,814,838,-37.8049547,144.9538101,Queensberry
8316E,814,821,-37.82513892,144.9682689,Southbank
13240N,815,851,-37.81959521,144.9443124,Docklands
795W,815,858,-37.81138739,144.9673245,Library
5278E,815,844,-37.80459006,144.9574317,Courtney
5264E,815,833,-37.80481923,144.957388,Courtney
12479S,815,826,-37.8121263,144.9773535,Jolimont
13912E,815,857,-37.81390575,144.9412726,Docklands
C272,816,823,-37.81524345,144.9720268,Hyatt
82E,816,960,-37.8089513,144.9720556,Regency
12340N,817,825,-37.80989153,144.9795002,East Melbourne
1514E,818,835,-37.8195608,144.9545099,Markilles
13832N,818,837,-37.81302285,144.9393337,Docklands
797W,819,837,-37.81133408,144.9672999,Library
10032N,821,849,-37.82324114,144.9667747,Southbank
8314E,821,855,-37.82519218,144.9682528,Southbank
C1230,821,829,-37.81227407,144.9594524,Titles
1157W,821,859,-37.8137775,144.9600102,Hardware
1429W,821,839,-37.81806101,144.956371,Family
2856N,822,860,-37.8105556,144.9678237,Princes Theatre
2551S,822,831,-37.81382557,144.9608584,Hardware
8651W,823,837,-37.82556052,144.9624892,Southbank
C1190,823,833,-37.81337904,144.9599577,Hardware
2553S,823,834,-37.8138616,144.9607337,Hardware
2818N,824,851,-37.81034688,144.9685342,Princes Theatre
4509W,824,845,-37.81166044,144.9534244,West Melbourne
C9000,824,848,-37.80285194,144.9668431,Drummond
45W,824,840,-37.81273972,144.9735492,Twin Towers
10036N,824,875,-37.82321938,144.9666358,Southbank
3761S,825,840,-37.81006045,144.9624784,The Mac
11503S,825,831,-37.81154627,144.9531295,West Melbourne
C9020,825,1092,-37.80287248,144.96703,Drummond
13416E,826,837,-37.81973947,144.9479154,Docklands
12461S,827,856,-37.81203633,144.9765303,Jolimont
C276,827,833,-37.81522059,144.9720163,Hyatt
2337S,828,836,-37.81188777,144.9715038,Windsor
C164,828,1230,-37.80827816,144.9716238,Regency
C696,829,848,-37.81419222,144.9687374,City Square
8653W,829,867,-37.82554051,144.9625127,Southbank
12393S,830,880,-37.81095738,144.9768136,Jolimont
13234N,830,860,-37.81942611,144.9449034,Docklands
682E,830,846,-37.81419688,144.9688636,City Square
7762N,830,846,-37.80254077,144.9458218,Queensberry
85W,830,911,-37.80898703,144.9718244,Regency
13203S,831,837,-37.8186821,144.9481293,Docklands
C674,831,888,-37.81436064,144.9688131,City Square
83W,831,841,-37.80903752,144.9718479,Regency
12338N,832,847,-37.80988361,144.9794282,East Melbourne
10177W,832,845,-37.80414888,144.9493349,Queensberry
13332E,832,862,-37.81673789,144.9458185,Docklands
13444E,832,969,-37.81916413,144.9486245,Docklands
812E,832,838,-37.81129717,144.9675333,Library
C212,832,861,-37.81572661,144.97225,Hyatt
11872E,832,845,-37.81079708,144.9782807,Jolimont
C9202,832,849,-37.79848481,144.9655169,University
12286N,832,888,-37.80969381,144.9776929,Jolimont
13636E,833,852,-37.82036873,144.9445749,Docklands
3914N,833,846,-37.81204932,144.9551424,Magistrates
13045S,833,841,-37.82128409,144.9468033,Docklands
1738N,833,871,-37.81467179,144.9729975,Twin Towers
1412E,833,841,-37.81885324,144.9569854,Rialto
10034N,834,849,-37.82323016,144.9667054,Southbank
C9102,834,851,-37.79838809,144.9646195,University
5592E,834,1014,-37.80593719,144.9538766,Queensberry
C2642,834,961,-37.80955854,144.9715607,Princes Theatre
C13644,835,845,-37.81977373,144.9440145,Docklands
C248,835,914,-37.81543357,144.9721146,Hyatt
4860E,835,862,-37.80947358,144.9583021,Titles
13312E,835,844,-37.81978257,144.9471226,Docklands
959W,835,860,-37.8120208,144.9620312,Library
793W,835,844,-37.81144071,144.9673491,Library
1660N,836,889,-37.81855878,144.9633211,Banks
968E,836,848,-37.81168094,144.9620838,Library
11874E,836,902,-37.81074368,144.9782895,Jolimont
12364N,836,851,-37.81026319,144.9828576,East Melbourne
1528E,836,848,-37.81750249,144.9535639,Spencer
13336E,837,861,-37.81662593,144.9457691,Docklands
775W,837,869,-37.81221754,144.9677054,Chinatown
816E,838,844,-37.81124641,144.9675098,Library
13334E,838,849,-37.81668191,144.9457938,Docklands
13456E,839,885,-37.81948833,144.948637,Docklands
13767W,839,888,-37.81242059,144.938621,Docklands
13790E,839,887,-37.81250227,144.9387905,Docklands
5156E,839,846,-37.80272572,144.9569445,Courtney
C13536,839,844,-37.81930771,144.9456262,Docklands
6584N,839,844,-37.80825984,144.9597589,Titles
C13588,840,915,-37.81951188,144.9449196,Docklands
557W,840,923,-37.80937794,144.9692058,Regency
C810,840,870,-37.81135347,144.9674335,Library
13462E,841,862,-37.82005376,144.9486589,Docklands
C6172,841,887,-37.80378489,144.9525055,Queensberry
10118E,841,897,-37.8033078,144.9481882,Queensberry
10116E,841,897,-37.80336189,144.9481785,Queensberry
10120E,841,897,-37.80325149,144.9481983,Queensberry
1861S,842,877,-37.81929159,144.9576469,Rialto
4390E,843,890,-37.80862272,144.9606837,The Mac
12404N,843,1028,-37.81075418,144.9766552,Jolimont
12264N,843,868,-37.80954973,144.9763512,Jolimont
2357S,843,880,-37.8122656,144.970217,Windsor
8710E,844,882,-37.82491812,144.9634425,Southbank
11746E,844,882,-37.81025046,144.975667,Jolimont
103W,844,859,-37.80806339,144.9713971,Regency
10122E,844,877,-37.80319152,144.948209,Queensberry
C1220,845,852,-37.81236655,144.9594945,Titles
12083W,845,859,-37.81109579,144.9833128,East Melbourne
C6636,845,987,-37.80849717,144.9592815,Titles
1920N,846,864,-37.81459062,144.9693496,Hyatt
C13692,846,950,-37.81999579,144.9432431,Docklands
6253S,847,867,-37.80768038,144.966405,Regency
12285S,848,873,-37.8097585,144.9769364,Jolimont
C680,848,888,-37.81428853,144.9687806,City Square
C2796,848,898,-37.81035539,144.9688283,Princes Theatre
C1218,849,866,-37.81241681,144.9595174,Titles
5594E,849,858,-37.80589074,144.9538555,Queensberry
908E,850,878,-37.81691389,144.9644843,Degraves
10181W,850,860,-37.80404052,144.9493538,Queensberry
2884N,850,876,-37.81086766,144.9667622,Library
12023W,851,871,-37.81308415,144.9829809,East Melbourne
3435S,851,865,-37.81080727,144.9635679,Library
2336N,851,898,-37.81173104,144.9714842,Windsor
13446E,852,866,-37.81921817,144.9486267,Docklands
2814N,852,858,-37.81032823,144.9685977,Princes Theatre
2350N,852,887,-37.81190347,144.9708985,Windsor
2847S,852,864,-37.81067521,144.968087,Princes Theatre
C1210,852,899,-37.81250889,144.9595594,Titles
11722E,853,875,-37.80997392,144.9729731,Jolimont
1205W,853,905,-37.81263517,144.9594919,Titles
6517S,853,860,-37.80771288,144.9623269,The Mac
12E,853,872,-37.81469214,144.9747051,Twin Towers
C7176,853,862,-37.80742646,144.9531933,Queensberry
13304N,854,872,-37.82179703,144.950814,Docklands
12360N,854,867,-37.81023444,144.982598,East Melbourne
C2962,855,882,-37.81279545,144.9605416,Hardware
13406E,855,862,-37.81922803,144.9473708,Docklands
11959W,855,979,-37.81484011,144.9826797,East Melbourne
12047W,856,937,-37.81241404,144.9830925,East Melbourne
1427W,856,874,-37.81811189,144.9563941,Family
C2940,856,950,-37.81264012,144.9610757,Hardware
12045W,858,869,-37.81246597,144.9830839,East Melbourne
12273S,859,902,-37.80971647,144.9765488,Jolimont
11503S,859,873,-37.81154627,144.9531295,West Melbourne
2508N,859,878,-37.81086532,144.9708109,Princes Theatre
10171W,859,879,-37.80429711,144.9493087,Queensberry
C296,859,899,-37.81478028,144.9718104,Hyatt
12444N,860,872,-37.81190265,144.9763519,Jolimont
C2672,860,894,-37.80968431,144.9711311,Princes Theatre
