street_marker,vioTime,depTime,lat,lon,area
1157W,585,601,-37.8137775,144.9600102,Hardware
C328,587,597,-37.81449553,144.9716782,Hyatt
13213S,587,611,-37.81879342,144.9477448,Docklands
13215S,587,600,-37.81881017,144.9476873,Docklands
C2652,587,618,-37.80961791,144.971358,Princes Theatre
11895W,588,605,-37.81034604,144.9781159,Jolimont
65W,588,626,-37.81024925,144.9724068,Princes Theatre
7592N,588,623,-37.80523525,144.9510389,Queensberry
12272N,589,625,-37.80964314,144.9772202,Jolimont
13794E,590,603,-37.81238797,144.9387212,Docklands
13771W,590,682,-37.81216493,144.9384661,Docklands
13769W,590,683,-37.81221174,144.9384939,Docklands
1982N,591,697,-37.8166151,144.9623981,Banks
11503S,591,596,-37.81154627,144.9531295,West Melbourne
13773W,591,684,-37.81211601,144.9384371,Docklands
C336,591,1009,-37.81441838,144.9716425,Hyatt
C1208,592,618,-37.81255668,144.9595811,Titles
1896N,592,1033,-37.81375872,144.9721718,Twin Towers
C13516,592,632,-37.8192556,144.9458065,Docklands
10103W,592,602,-37.80347363,144.9479256,Queensberry
5386E,593,599,-37.80553777,144.956215,Courtney
13580E,594,605,-37.82032363,144.9429294,Docklands
1316E,594,1023,-37.81697864,144.9589224,RACV
C13726,594,610,-37.82007954,144.9429551,Docklands
C1144,595,604,-37.81426002,144.9603591,Hardware
916E,596,636,-37.81669896,144.9643856,Degraves
1315W,596,610,-37.81707601,144.9587304,RACV
13256N,596,741,-37.81989374,144.9432877,Docklands
12442N,596,624,-37.81184753,144.9758456,Jolimont
13041S,596,610,-37.82124275,144.9469466,Docklands
13614E,596,612,-37.81963127,144.9437254,Docklands
13834N,596,720,-37.81299743,144.9393991,Docklands
12479S,596,611,-37.8121263,144.9773535,Jolimont
12057W,597,654,-37.81215318,144.9831362,East Melbourne
C798,598,629,-37.81142549,144.9674663,Library
C1252,598,604,-37.81184243,144.9592572,Titles
12089W,598,621,-37.8109409,144.9833387,East Melbourne
3406N,598,604,-37.81014836,144.9656418,Library
11881W,599,620,-37.81118103,144.977978,Jolimont
12483S,599,618,-37.81214097,144.9774877,Jolimont
1512E,600,623,-37.81961176,144.9545332,Markilles
11879W,600,621,-37.81123545,144.9779689,Jolimont
12358N,600,624,-37.81022689,144.9825305,East Melbourne
9541S,600,614,-37.82820384,144.9650811,Southbank
13408E,600,664,-37.81927229,144.9474178,Docklands
13420E,601,624,-37.8198261,144.9480076,Docklands
1732N,601,635,-37.81461556,144.9731894,Twin Towers
2561S,601,640,-37.81410437,144.959928,Supreme
11880E,601,613,-37.8105892,144.9783156,Jolimont
89W,601,896,-37.80888641,144.9717781,Regency
13853S,602,637,-37.81411372,144.9415683,Docklands
12326N,602,640,-37.80981909,144.9788279,East Melbourne
13333W,602,949,-37.81903226,144.9484063,Docklands
6043S,602,790,-37.81063834,144.9562983,Mint
2376N,603,735,-37.81221483,144.9698362,Windsor
2350N,603,644,-37.81190347,144.9708985,Windsor
13312N,603,1110,-37.82224057,144.9467611,Docklands
13796E,604,717,-37.81233213,144.9386874,Docklands
C280,604,619,-37.81519773,144.9720058,Hyatt
12282N,604,679,-37.80967938,144.9775578,Jolimont
2553S,604,673,-37.8138616,144.9607337,Hardware
43W,605,620,-37.8127876,144.973571,Twin Towers
13588E,605,797,-37.81961436,144.9426312,Docklands
12095W,605,741,-37.81078548,144.9833641,East Melbourne
45W,605,644,-37.81273972,144.9735492,Twin Towers
12047W,606,639,-37.81241404,144.9830925,East Melbourne
11873W,606,614,-37.81139863,144.9779413,Jolimont
11744E,606,641,-37.81028303,144.9756616,Jolimont
12435S,608,1052,-37.8119199,144.9754661,Jolimont
C13540,609,848,-37.81931717,144.9455934,Docklands
5468E,609,737,-37.80737098,144.9545304,Queensberry
1518E,609,637,-37.81946331,144.9544653,Markilles
11899W,609,616,-37.81021238,144.9781379,Jolimont
12324N,610,624,-37.80981173,144.9787604,East Melbourne
C560,612,1079,-37.80944784,144.9693614,Regency
13418E,612,624,-37.81978279,144.9479615,Docklands
C308,612,636,-37.81471636,144.9717806,Hyatt
11503S,612,626,-37.81154627,144.9531295,West Melbourne
C2756,613,633,-37.809984,144.9701075,Princes Theatre
12487S,613,620,-37.81215577,144.9776229,Jolimont
13424E,614,713,-37.81991273,144.9480997,Docklands
C404,615,1035,-37.81296318,144.9709743,Windsor
13664E,616,1110,-37.81975063,144.94534,Docklands
20E,616,640,-37.81447461,144.9746042,Twin Towers
C1132,617,897,-37.81442544,144.9604354,Hardware
12469S,617,679,-37.81207935,144.9769197,Jolimont
13636E,617,637,-37.82036873,144.9445749,Docklands
13029S,619,654,-37.82053721,144.9493859,Docklands
9200N,619,652,-37.8311241,144.9668652,Southbank
908E,619,818,-37.81691389,144.9644843,Degraves
1858N,620,782,-37.8190086,144.9582615,Rialto
C548,620,628,-37.80957988,144.9694221,Regency
10034N,620,631,-37.82323016,144.9667054,Southbank
C688,621,628,-37.81423973,144.9687587,City Square
13410E,621,632,-37.81931646,144.9474649,Docklands
13205S,623,632,-37.81869951,144.9480692,Docklands
12477S,624,664,-37.81211825,144.9772799,Jolimont
12467S,624,679,-37.81207203,144.9768532,Jolimont
13223S,624,639,-37.81893006,144.9472674,Docklands
2348N,625,639,-37.81186443,144.9710311,Windsor
1861S,625,717,-37.81929159,144.9576469,Rialto
1660N,626,635,-37.81855878,144.9633211,Banks
12463S,626,638,-37.81204343,144.976596,Jolimont
775W,626,689,-37.81221754,144.9677054,Chinatown
13866N,626,673,-37.81405078,144.9415608,Docklands
12439S,626,880,-37.81193638,144.9756157,Jolimont
6621S,627,640,-37.80848205,144.959677,Titles
12448N,627,663,-37.81191814,144.9764948,Jolimont
979W,629,1110,-37.81855685,144.962207,Banks
13253S,629,679,-37.82013908,144.9430699,Docklands
2551S,629,661,-37.81382557,144.9608584,Hardware
1979S,629,734,-37.8166486,144.962849,Banks
C2638,629,1089,-37.80954376,144.9716113,Princes Theatre
8342E,630,639,-37.82444458,144.9684783,Southbank
8295W,630,773,-37.82629355,144.9677962,Southbank
8676E,630,689,-37.82528162,144.9630148,Southbank
8666E,630,655,-37.82538013,144.9628992,Southbank
8630E,630,1028,-37.82573113,144.9624829,Southbank
8648E,630,658,-37.82555701,144.9626908,Southbank
429W,630,789,-37.81269374,144.9707233,Windsor
12065W,631,662,-37.81194666,144.9831707,East Melbourne
11784E,631,660,-37.81108557,144.9755651,Jolimont
7013S,631,654,-37.80737503,144.9591884,Victoria Market
10032N,631,673,-37.82324114,144.9667747,Southbank
10199W,632,647,-37.80355521,144.9494394,Queensberry
12328N,632,642,-37.80982659,144.9788954,East Melbourne
7620N,634,1110,-37.80498764,144.9487537,Queensberry
11871W,635,691,-37.81145304,144.9779322,Jolimont
C1115,635,643,-37.81550243,144.9609294,McKillop
12269S,635,652,-37.80970231,144.9764181,Jolimont
7784N,635,658,-37.80243112,144.9448248,Queensberry
C580,636,791,-37.80925359,144.969272,Regency
3936N,636,695,-37.81224916,144.9544364,Magistrates
13470E,636,1000,-37.81868029,144.9497962,Docklands
13306N,637,837,-37.82176881,144.950927,Docklands
13578E,637,652,-37.82037563,144.9429534,Docklands
13033S,637,712,-37.82057355,144.9492606,Docklands
8649W,637,664,-37.82558052,144.9624657,Southbank
6531S,638,657,-37.80786127,144.9618158,The Mac
12055W,638,672,-37.81220512,144.9831277,East Melbourne
13586E,638,649,-37.81967338,144.942657,Docklands
779W,638,652,-37.81216666,144.9676823,Chinatown
C512,638,813,-37.81054117,144.9698622,Princes Theatre
5592E,638,670,-37.80593719,144.9538766,Queensberry
C670,640,679,-37.81440745,144.9688341,City Square
9513S,641,677,-37.82844809,144.966347,Southbank
C1126,641,672,-37.81452183,144.9604796,Hardware
4895W,642,649,-37.80830881,144.9577373,Victoria Market
13028N,643,649,-37.8212188,144.9441095,Docklands
1849S,643,693,-37.81883676,144.9592141,Rialto
C1152,643,673,-37.81382424,144.9601594,Hardware
65W,643,688,-37.81024925,144.9724068,Princes Theatre
5384E,644,663,-37.80531082,144.9562548,Courtney
13416E,644,685,-37.81973947,144.9479154,Docklands
C9142,644,672,-37.79842436,144.9649563,University
11756E,645,784,-37.81008795,144.975694,Jolimont
12387S,645,650,-37.81093349,144.9765959,Jolimont
11898E,646,670,-37.81012837,144.9783931,Jolimont
13667W,646,693,-37.82111078,144.945353,Docklands
13296E,647,659,-37.81645801,144.9456949,Docklands
48E,647,676,-37.81260835,144.9737395,Twin Towers
12279S,648,660,-37.80973763,144.976744,Jolimont
13663W,648,658,-37.8212229,144.9453826,Docklands
11933W,648,669,-37.81551182,144.9825653,East Melbourne
13203S,649,708,-37.8186821,144.9481293,Docklands
13418E,649,664,-37.81978279,144.9479615,Docklands
12260N,650,668,-37.80953633,144.9762274,Jolimont
11929W,650,655,-37.81561165,144.9825484,East Melbourne
13213S,650,659,-37.81879342,144.9477448,Docklands
43W,651,665,-37.8127876,144.973571,Twin Towers
C276,651,730,-37.81522059,144.9720163,Hyatt
13324E,651,959,-37.81813759,144.9464366,Docklands
13486E,652,661,-37.81960519,144.9505258,Docklands
2555S,652,684,-37.81387885,144.960674,Hardware
12270N,653,664,-37.80963584,144.9771527,Jolimont
11893W,653,663,-37.81039625,144.9781077,Jolimont
13228N,653,659,-37.81937048,144.9450954,Docklands
C332,654,681,-37.81447147,144.9716671,Hyatt
12280N,654,715,-37.80967216,144.9774903,Jolimont
8672E,656,713,-37.82532076,144.9629689,Southbank
5082E,657,1053,-37.80470444,144.9578587,Courtney
12362N,657,669,-37.81025622,144.9827946,East Melbourne
C666,657,665,-37.81445233,144.9688543,City Square
12422N,658,711,-37.81088357,144.9778442,Jolimont
C1238,658,823,-37.81220219,144.9594195,Titles
962E,658,679,-37.81179901,144.9621385,Library
13217S,659,665,-37.81887903,144.9474453,Docklands
C236,659,833,-37.81553016,144.9721587,Hyatt
C1118,659,681,-37.81461496,144.9605225,Hardware
11959W,659,694,-37.81484011,144.9826797,East Melbourne
12416N,659,674,-37.81086362,144.9776605,Jolimont
4885W,660,797,-37.80843171,144.9577156,Victoria Market
7033S,660,676,-37.80756762,144.9585246,Victoria Market
12371S,660,1020,-37.81014496,144.9804679,East Melbourne
12433S,660,685,-37.81191207,144.975395,Jolimont
12358N,660,669,-37.81022689,144.9825305,East Melbourne
